Provinsi,Tahun,Bulan,Kasus Aktif,Simpanan,- Giro,- Tabungan,- Simpanan Berjangka,Pinjaman yang diberikan,- Modal Kerja,- Investasi,- Konsumsi,Kredit UMKM,- Mikro,- Kecil,- Menengah
DI Yogyakarta,2021,9,150065,383298659.0,49459886.0,210845989.0,122992785.0,400013799.0,209913931.0,75312676.0,114787193.0,129280393.0,32507040.0,53529942.0,43243411.0
DKI Jakarta,2020,4,62483,2781291450.0,888766693.0,518057281.0,1374467476.0,1860780398.0,1034261180.0,605992654.0,220526564.0,157400256.0,17992809.0,23028246.0,116379201.0
DKI Jakarta,2020,5,128801,2811003446.0,900420619.0,524069374.0,1386513453.0,1833941445.0,1019062646.0,597348547.0,217530251.0,151019009.0,13104530.0,23248785.0,114665694.0
DKI Jakarta,2020,6,133922,2830211693.0,895314283.0,524337913.0,1410559496.0,1815128776.0,1009139379.0,585721769.0,220267628.0,149888466.0,13180129.0,23416643.0,113291694.0
DKI Jakarta,2020,7,163378,2901686655.0,923164287.0,528573239.0,1449949129.0,1803488395.0,990727237.0,598741558.0,214019599.0,148529987.0,12549998.0,23069895.0,112910094.0
DKI Jakarta,2020,8,254665,2973161617.0,951014290.0,532808565.0,1489338762.0,1794817204.0,986943389.0,594740716.0,213133099.0,147364706.0,12475190.0,22969948.0,111919569.0
DKI Jakarta,2020,9,341080,3069829145.0,1033629212.0,538395190.0,1497804743.0,1766816339.0,963414612.0,590081023.0,213320704.0,146829756.0,12336581.0,23288268.0,111204908.0
DKI Jakarta,2021,4,204463,3184476944.0,1099084001.0,581324624.0,1504068320.0,1716928149.0,923118454.0,586133181.0,207676515.0,140263326.0,10848338.0,24042280.0,105372709.0
DKI Jakarta,2021,5,266205,3173073942.0,1081712021.0,588287131.0,1503074790.0,1725728245.0,936084968.0,582143096.0,207500182.0,139793556.0,10872720.0,24776715.0,104144121.0
DKI Jakarta,2021,6,824444,3242705071.0,1121045337.0,596644739.0,1525014995.0,1753583688.0,956787029.0,588191379.0,208605280.0,140208377.0,11769416.0,25206738.0,103232223.0
DKI Jakarta,2021,7,2492454,3268228913.0,1147366963.0,595905112.0,1524956838.0,1651249847.0,881713636.0,563680408.0,205855802.0,138706366.0,11443089.0,25795745.0,101467532.0
DKI Jakarta,2021,8,309566,3314416769.0,1177443190.0,608971691.0,1528001888.0,1638850098.0,880469019.0,551454270.0,206926809.0,138938637.0,11777063.0,26499941.0,100661633.0
DKI Jakarta,2021,9,105445,3379195209.0,1195700650.0,621558225.0,1561936335.0,1729519405.0,914735605.0,603048102.0,211735699.0,147604209.0,12491987.0,32194037.0,102918185.0
Jawa Barat,2020,4,14598,540910565.0,90713363.0,235645592.0,214551610.0,724794059.0,290107562.0,123878216.0,310808282.0,150958429.0,43184128.0,44712083.0,63062218.0
Jawa Barat,2020,5,38434,545955618.0,88680588.0,243105055.0,214169974.0,740104423.0,294652214.0,128600587.0,316851622.0,147378251.0,41217432.0,44141215.0,62019605.0
